name,초중고,설립년도,설립형태,소재지도로명주소,시도교육청,교육지원청,위도,경도
우송중학교,중학교,1954,사립,대전광역시 동구 동대전로131번길 53,대전광역시교육청,대전광역시동부교육지원청,36.33562875,127.4428489
청학초등학교,초등학교,1954,공립,부산광역시 영도구 청학로 49,부산광역시교육청,부산광역시서부교육지원청,35.09320176,129.0595039
대구여자고등학교,고등학교,1954,공립,대구광역시 수성구 달구벌대로488길 17,대구광역시교육청,대구광역시동부교육지원청,35.85650935,128.6298641
고흥도화중학교,중학교,1954,공립,전라남도 고흥군 도화면 도화로 466,전라남도교육청,전라남도고흥교육지원청,34.51516585,127.3200152
전의중학교,중학교,1954,공립,세종특별자치시 전의면 운주산로 1260-6,세종특별자치시교육청,세종특별자치시교육청,36.68165619,127.1975871
비인중학교,중학교,1954,공립,충청남도 서천군 비인면 비인로 142,충청남도교육청,충청남도서천교육지원청,36.13966938,126.6062627
선도중학교,중학교,1954,공립,충청남도 아산시 선장면 서부남로 21,충청남도교육청,충청남도아산교육지원청,36.78878323,126.8639353
여주제일중학교,중학교,1954,사립,경기도 여주시 가남읍 여주남로 1155-15,경기도교육청,경기도여주교육지원청,37.20517928,127.5555129
진전중학교,중학교,1954,공립,경상남도 창원시 마산합포구 진전면 월안로 23,경상남도교육청,경상남도창원교육지원청,35.104284,128.4095521
도지초등학교,초등학교,1954,공립,경기도 이천시 백사면 청백리로 207,경기도교육청,경기도이천교육지원청,37.3084025,127.4823129
옥과고등학교,고등학교,1954,사립,전라남도 곡성군 옥과면 대학로 99,전라남도교육청,전라남도곡성교육지원청,35.27425388,127.1299726
거창중앙고등학교,고등학교,1954,사립,경상남도 거창군 거창읍 성산길 36,경상남도교육청,경상남도거창교육지원청,35.69308263,127.9029093
울릉고등학교,고등학교,1954,공립,경상북도 울릉군 울릉읍 울릉순환로 236,경상북도교육청,경상북도울릉교육지원청,37.49299459,130.9073535
홍익대학교사범대학부속고등학교,고등학교,1954,사립, 성북구 성북로14가길 23,서울특별시교육청,서울특별시성북강북교육지원청,37.59366662,127.002805
녹산중학교,중학교,1953,사립,부산광역시 강서구 낙동남로 659,부산광역시교육청,부산광역시북부교육지원청,35.11814821,128.8878836
삼척여자고등학교,고등학교,1953,공립,강원도 삼척시 남산길 6,강원도교육청,강원도삼척교육지원청,37.43769516,129.1652714
심인중학교,중학교,1953,사립,대구광역시 달성군 다사읍 대실역남로1길 21,대구광역시교육청,대구광역시달성교육지원청,35.85308854,128.4678979
성광중학교,중학교,1953,사립,대구광역시 북구 검단로 150,대구광역시교육청,대구광역시서부교육지원청,35.9075717,128.6242288
함덕고등학교,고등학교,1953,공립,제주특별자치도 제주시 조천읍 신흥로 9,제주특별자치도교육청,제주특별자치도제주시교육지원청,33.54458376,126.6514373
기린중학교,중학교,1953,공립,강원도 인제군 기린면 창암길 20,강원도교육청,강원도인제교육지원청,37.94620605,128.31169
창덕중학교,중학교,1953,공립,경상남도 창원시 의창구 동읍 의창대로900번길 12,경상남도교육청,경상남도창원교육지원청,35.27744139,128.6888058
군산금광초등학교,초등학교,1953,공립,전라북도 군산시 대학로 100,전라북도교육청,전라북도군산교육지원청,35.98219065,126.7062198
일산중학교,중학교,1953,공립,경기도 고양시 일산서구 원일로 53,경기도교육청,경기도고양교육지원청,37.68897122,126.7683384
일직중학교,중학교,1953,사립,경상북도 안동시 일직면 하나들길 13,경상북도교육청,경상북도안동교육지원청,36.4706707,128.6638115
덕원중학교,중학교,1953,사립,부산광역시 중구 망양로 356,부산광역시교육청,부산광역시서부교육지원청,35.10885429,129.0324467
부산영선중학교,중학교,1953,공립,부산광역시 영도구 영상길 83,부산광역시교육청,부산광역시서부교육지원청,35.08626719,129.0446792
서울교육대학교부설초등학교,초등학교,1953,국립,서울특별시 서초구 서초중앙로 96,서울특별시교육청,서울특별시강남서초교육지원청,37.49074049,127.0154245
삼성초등학교,초등학교,1953,공립,경기도 파주시 탄현면 방촌로 1009-20,경기도교육청,경기도파주교육지원청,37.82561708,126.7327566
삼덕초등학교,초등학교,1953,공립,경기도 평택시 청북읍 청북중앙로 226,경기도교육청,경기도평택교육지원청,37.03955035,126.9118343
한국국제통상마이스터고등학교,고등학교,1953,공립,경상북도 경주시 감포읍 감포로12길 20,경상북도교육청,경상북도경주교육지원청,35.81078851,129.5061535
인천용현초등학교,초등학교,1953,공립,인천광역시 미추홀구 낙섬동로 83,인천광역시교육청,인천광역시남부교육지원청,37.45311116,126.6408079
조성중학교,중학교,1953,공립,전라남도 보성군 조성면 조성2길 4-7,전라남도교육청,전라남도보성교육지원청,34.80802441,127.2424604
내수중학교,중학교,1953,공립,충청북도 청주시 청원구 내수읍 마산3길 38,충청북도교육청,충청북도청주교육지원청,36.72399884,127.5377031
문정중학교,중학교,1953,사립,경기도 용인시 수지구 포은대로 455,경기도교육청,경기도용인교육지원청,37.32272577,127.0990637
남성초등학교,초등학교,1953,공립,경상북도 포항시 남구 대송면 장동홍계길 20,경상북도교육청,경상북도포항교육지원청,35.97036651,129.359451
